#          chi2            h           OmegaM           OmegaK               Acceptrate
        43.7469         0.73458        0.139377       0.0109847                10.3335%
        40.4395        0.731168        0.143303       0.0553907                10.3425%
        40.7048        0.732048        0.141276       0.0619852                10.3491%
        39.0564        0.717567        0.218219       0.0124399                10.3511%
        37.6223         0.71791        0.215493        0.057015                10.36%
        37.7699        0.721967        0.224399       0.0216104                10.3608%
        39.1518        0.717613        0.273852      -0.0476908                10.358%
        36.9664        0.725498        0.198792    -0.000256872                10.3646%
        41.9093        0.719801        0.196431      0.00261447                10.363%
        42.8218        0.715795        0.194947        0.044215                10.3731%
        42.8407        0.723989        0.194355       -0.041264                10.3832%
        38.5797        0.723197        0.221358      -0.0564344                10.3921%
        39.9291        0.735249        0.191646      -0.0396446                10.3998%
        41.3835        0.731117         0.19465      -0.0923501                10.4029%
        43.1016        0.728794        0.187462      -0.0695343                10.4106%
        38.6655        0.723243        0.230403      -0.0763899                10.4171%
        42.3989        0.729227        0.248207      -0.0504108                10.426%
        42.5096        0.730318        0.181201      -0.0628629                10.4325%
        42.2351        0.717091         0.24395       -0.060569                10.4426%
        41.5191        0.714091        0.296657        -0.06055                10.4514%
        39.8927        0.718308        0.246658      -0.0595721                10.4556%
         39.556        0.718254        0.273195      -0.0981972                10.4493%
        39.2689        0.719415        0.291696      -0.0960814                10.4394%
        41.2241        0.714752        0.282705       -0.077574                10.4483%
        43.3152        0.714335        0.240449      -0.0265726                10.4536%
        44.2028        0.714202        0.227596     -0.00794825                10.4577%
        40.4826        0.715471        0.234915     -0.00593034                10.4665%
         41.117        0.728714        0.219018       0.0023462                10.4742%
        37.2773        0.726128        0.182913       0.0313606                10.4783%
        37.0488        0.723304        0.224443     -0.00385306                10.4754%
        39.7454        0.726723        0.231866      -0.0134476                10.4854%
        37.3496        0.720278        0.239663      -0.0245116                10.4953%
        37.1057        0.722288        0.188189       0.0535855                10.5053%
        39.5678        0.725663        0.141184       0.0954583                10.5152%
        39.2848        0.723934         0.16985        0.126904                10.5251%
        39.3953        0.722262        0.168595        0.148241                10.5339%
        39.5152        0.721119        0.186621        0.127042                10.5275%
        38.5645        0.714969        0.209256        0.113506                10.5362%
        37.7339        0.719525         0.17614       0.0934896                10.5426%
        38.7013        0.723244        0.144678        0.116207                10.5525%
        39.1211        0.723038        0.141114        0.120009                10.5578%
        38.7852        0.718527         0.17658        0.162419                10.5677%
        39.4093        0.715026        0.169744        0.134113                10.5752%
        42.3118        0.724464        0.210285        0.070963                10.5828%
        37.4382        0.722894        0.178283       0.0928996                10.5927%
        38.8248        0.724462        0.128233         0.16022                10.6014%
        37.8972        0.720609        0.139015        0.175333                10.6113%
        37.9749        0.714786        0.158447        0.189383                10.6129%
        38.3084        0.721753        0.128563        0.186211                10.6169%
        38.2741         0.71456        0.116829        0.295952                10.6244%
        39.4863        0.708712        0.161504        0.274287                10.6331%
        39.1278        0.708378        0.143609        0.302503                10.6406%
        38.1052        0.714805        0.159358         0.21326                10.6446%
        38.0785        0.715567        0.122967        0.266216                10.6463%
        38.9251         0.70835        0.102664        0.387696                10.6526%
        40.1634        0.709499        0.122135        0.369936                10.6542%
        42.5528        0.704969         0.16021        0.352693                10.6605%
        45.3894        0.701009         0.17516         0.26385                10.6703%
        45.5239        0.703715        0.145099        0.273632                10.679%
        44.0956        0.701109        0.207465        0.253315                10.6853%
         43.651        0.705224        0.206477        0.254416                10.6904%
        38.6598        0.711541        0.172861        0.209107                10.6978%
        41.5452        0.713947        0.201073        0.181638                10.7029%
        41.3271        0.706882        0.191085        0.192384                10.7115%
        41.9814        0.707172        0.213121        0.144478                10.7131%
        41.8229        0.709305        0.252316       0.0741473                10.7205%
        40.5167        0.720817        0.223539       0.0652946                10.7291%
        39.3521        0.716146        0.151865         0.15822                10.7377%
        42.1358        0.707955        0.160642        0.215255                10.7405%
        39.6963         0.70954        0.157735        0.285781                10.7502%
        41.2398        0.706792        0.177887        0.280873                10.7529%
        40.3098        0.709074        0.201588        0.191443                10.7568%
         41.459        0.707107        0.216156        0.159557                10.7618%
         45.779        0.706255        0.191555        0.152867                10.7681%
        44.4119        0.710079        0.189206         0.11493                10.7778%
        49.0235        0.709767        0.131385         0.20435                10.7769%
        45.8335        0.715814        0.167804         0.26441                10.7867%
        45.3914        0.708816        0.209319        0.239065                10.7952%
        41.9983        0.702994        0.179171         0.29649                10.8049%
        41.1629        0.718423        0.116566        0.302068                10.8088%
         39.254        0.711247        0.118983         0.28759                10.8149%
         42.269         0.72208       0.0487407        0.341557                10.8246%
         44.663        0.726455       0.0479236        0.327115                10.8273%
        41.0469        0.723245        0.105758        0.261287                10.8358%
        41.2302        0.716843       0.0781719        0.298016                10.8337%
        44.4453        0.705371        0.132389        0.282924                10.8375%
        39.1166        0.708186        0.139545        0.308211                10.8472%
         40.695        0.703168        0.137934        0.375096                10.8557%
        44.5577        0.701098        0.171284         0.37632                10.8606%
        44.3402         0.70431        0.218278        0.238258                10.8679%
        42.5828        0.713087        0.211171         0.17633                10.8776%
         39.923        0.711453        0.157107        0.198794                10.8837%
        41.4046        0.711395        0.167101        0.163873                10.8863%
        38.7978        0.713382        0.177866        0.199884                10.8947%
        38.6681        0.711512        0.167728         0.22514                10.902%
        38.7008        0.710381        0.113954         0.32458                10.9058%
        38.6102        0.710138        0.126474        0.316569                10.9142%
        38.0457        0.717123        0.126994        0.246625                10.9144%
        40.4903        0.716302        0.107185        0.242266                10.9181%
        38.5221        0.718795         0.11868        0.223017                10.9242%
        40.2371        0.719263        0.134943        0.153688                10.9326%
        39.9278        0.726312        0.117272        0.159943                10.9399%
        41.6739        0.726876       0.0992546        0.177966                10.9436%
        42.2957        0.726346        0.113345        0.132409                10.9508%
        37.9022          0.7169         0.14199        0.222574                10.9592%
         40.039        0.711521          0.1575        0.195584                10.9652%
        37.7397        0.717388        0.161145          0.1806                10.9701%
        38.4785        0.712519        0.142723        0.272068                10.9738%
        38.1023        0.715777        0.128939        0.260348                10.9786%
        38.9158        0.710713        0.160714         0.25369                10.9882%
        41.3853        0.717207        0.129695        0.293138                10.9907%
        39.3567        0.717097         0.10018        0.266944                10.9967%
        37.7882        0.715721        0.150229        0.208444                11.0062%
        40.1053        0.713457        0.136418        0.304941                11.0146%
        42.2038        0.721759       0.0962537        0.206355                11.0241%
        47.0305        0.719148        0.141651         0.28802                11.0337%
        37.7325        0.715987        0.162619        0.183881                11.0385%
        37.9742        0.715348        0.170413        0.155975                11.0421%
        39.3024        0.714258        0.140269        0.205165                11.0516%
        39.9557        0.709871        0.150484        0.233075                11.0611%
        39.0184        0.712268        0.162419        0.191764                11.0612%
        39.2178        0.711355        0.138776        0.246555                11.0589%
        39.3079        0.712162        0.142962        0.292292                11.0554%
        40.3173        0.707502        0.163624        0.241939                11.0637%
        42.7519        0.706544         0.19695        0.167604                11.0696%
        39.5545        0.708862         0.17736        0.230172                11.0756%
        41.1502        0.708418        0.193236        0.233857                11.0756%
        40.5982        0.715164        0.141935         0.17671                11.0827%
        37.9072        0.716709        0.168003        0.178002                11.091%
        38.3908        0.712054        0.156205        0.227209                11.1005%
        38.1979        0.712824        0.152902        0.228765                11.1052%
        41.4074        0.706998        0.204685        0.212946                11.1099%
        39.7181         0.71045        0.183965        0.169834                11.1194%
        42.1209        0.715501        0.176759       0.0887679                11.1265%
        37.5806        0.718303        0.188462        0.116931                11.1359%
        37.1504         0.72008        0.200787       0.0634687                11.1442%
        38.8816        0.723481        0.156353       0.0821474                11.1512%
        37.4189        0.718195        0.191783        0.102103                11.1453%
        37.0406        0.723147        0.186438       0.0559139                11.1488%
        36.8916        0.723513        0.220081     -0.00179546                11.157%
        38.1109        0.725898        0.194022      -0.0175238                11.157%
        37.5144        0.720332        0.244076      -0.0425007                11.1664%
        38.2092        0.718739        0.245833      0.00140816                11.1722%
        37.5749        0.719802        0.244198      -0.0188476                11.1757%
        37.3772        0.730313         0.21009      -0.0425453                11.1509%
        37.6171        0.718423        0.226753       0.0259644                11.1532%
        39.3792        0.726316        0.249824      -0.0486645                11.1544%
        36.8028        0.726464        0.237504      -0.0603016                11.159%
        36.6154        0.724662        0.231879      -0.0444777                11.1637%
        36.6992        0.724916         0.25681        -0.11327                11.1636%
        37.3752        0.724194        0.287533       -0.144053                11.1659%
        37.5785        0.732759        0.291152       -0.209766                11.1694%
        38.6981        0.740284        0.301878       -0.294248                11.1752%
        37.9171        0.742687        0.272093        -0.29654                11.1775%
        37.8109        0.740257        0.280422       -0.266936                11.1797%
        36.2336        0.731322        0.303613       -0.275316                11.1879%
        36.9576        0.732559        0.338473       -0.318381                11.189%
         36.594        0.729672        0.316292       -0.258671                11.1947%
        35.8541        0.736395        0.315286       -0.323515                11.1982%
        36.2015        0.733905         0.29549       -0.251275                11.1934%
        39.0275         0.72452        0.332873        -0.27889                11.1933%
        38.3536         0.73405        0.231096       -0.171799                11.2014%
        36.3019        0.731474        0.284902       -0.242314                11.2107%
        35.8896        0.735299        0.292471       -0.276199                11.2176%
        35.8689        0.736158        0.302269       -0.298209                11.2257%
        38.0284        0.730555        0.320529       -0.328138                11.2314%
        42.9242        0.721967        0.323852       -0.271147                11.2348%
        43.4807        0.727736        0.356157       -0.257404                11.244%
        36.7796        0.729379        0.325779       -0.277389                11.2509%
        36.1737        0.730714        0.310828        -0.26933                11.2601%
        38.9002          0.7233        0.334642       -0.244627                11.2694%
        36.3048        0.729979        0.307466       -0.249052                11.2774%
        39.0233        0.724444        0.292596       -0.213356                11.2855%
        36.6098        0.728641        0.303295       -0.247749                11.2888%
        35.8408        0.735835        0.329863       -0.349864                11.2969%
        37.5131        0.730411        0.352925       -0.372453                11.3025%
        35.9709        0.738974        0.337256        -0.38669                11.3106%
        38.2575        0.746686        0.319603       -0.406694                11.3116%
        38.2542        0.745465        0.303821       -0.412152                11.3208%
        37.6247         0.73741         0.33317       -0.419682                11.3299%
        36.3983         0.73725        0.337349       -0.410224                11.3157%
        36.3089        0.741899        0.315454       -0.388269                11.3178%
        36.5977        0.738048         0.34115       -0.428818                11.3071%
        35.7749        0.741147        0.350092       -0.444757                11.3151%
        35.8812        0.738094        0.361969        -0.44722                11.3231%
        37.8372         0.73864         0.39473       -0.479329                11.3299%
        37.8582         0.73577        0.412964       -0.539522                11.3332%
        38.0502         0.73938        0.403128       -0.576812                11.3423%
         40.721        0.744227        0.442225       -0.604812                11.348%
        39.0252        0.746776        0.459255        -0.68098                11.3571%
        37.5349        0.746901        0.446511       -0.671636                11.3604%
        38.7583        0.742505        0.477278       -0.714223                11.3625%
        40.2049        0.755926        0.374188       -0.643253                11.3704%
        37.6241        0.752919        0.417965       -0.671855                11.3725%
        43.8621        0.750087        0.378446       -0.655536                11.3723%
        43.5028        0.747698        0.401661       -0.686407                11.3814%
        38.0926         0.75403        0.393228       -0.639342                11.3905%
         37.032        0.748328        0.416325       -0.623607                11.3937%
        38.2293        0.750387        0.407847       -0.611051                11.4016%
        36.2231        0.742362         0.40338        -0.57499                11.4107%
        36.4017        0.745633        0.388831       -0.583905                11.4174%
         37.094         0.74047        0.423177       -0.603647                11.4137%
        39.5693        0.748712        0.415476       -0.596357                11.4192%
        39.3192        0.745482        0.384434       -0.608112                11.4283%
        40.8964        0.747721        0.379932       -0.626036                11.4373%
        40.9434        0.754912        0.392538       -0.694654                11.4405%
        37.0388        0.748477        0.450524       -0.708503                11.4402%
        37.0532        0.747871         0.43588       -0.701424                11.4493%
        37.7234        0.754338        0.427135       -0.711225                11.4501%
        38.0939        0.753961        0.401241       -0.675839                11.4545%
        38.0121        0.752609        0.441668       -0.709076                11.4519%
        38.2653        0.747672        0.475169       -0.782276                11.4481%
        38.5953        0.749435        0.450977       -0.689681                11.4524%
        38.7038        0.744141        0.434945       -0.688742                11.4602%
        39.8537         0.73692        0.464291       -0.635645                11.4646%
        40.0534        0.734086        0.448492       -0.577099                11.4701%
         45.772        0.734574         0.47188       -0.564945                11.4756%
        44.4957        0.725302        0.446538       -0.484627                11.4799%
        44.0005        0.729676        0.448623       -0.492781                11.4889%
         46.492        0.724425        0.444439       -0.514542                11.4944%
        42.2425        0.733418        0.422228       -0.463325                11.4987%
         36.728        0.737253        0.339242         -0.4194                11.4995%
        36.7195        0.742943        0.332581       -0.449378                11.5038%
        38.6545        0.736118         0.40108       -0.542498                11.5128%
        36.1012        0.744391        0.374991       -0.515505                11.5206%
        39.5841        0.731914        0.401741       -0.498556                11.5295%
        38.9435        0.739039        0.410812        -0.50717                11.5373%
        40.0401        0.731877        0.423819       -0.530888                11.5346%
        39.2538        0.736004        0.407935       -0.559011                11.5412%
        36.9082        0.739083        0.402031       -0.553506                11.5501%
        40.0864        0.747432        0.401722       -0.551193                11.5509%
        36.6722        0.747377        0.379791        -0.58021                11.5587%
        37.1668         0.73899         0.42031       -0.578606                11.5501%
        41.5361        0.734302        0.470752       -0.639286                11.559%
         40.647        0.737428        0.476884       -0.654968                11.5679%
        39.4286        0.739671        0.464044       -0.642288                11.5768%
        39.5929        0.734231        0.441078       -0.560661                11.5834%
        37.5731         0.73974         0.41445        -0.59299                11.59%
        38.0661        0.744772        0.426681       -0.599132                11.593%
        36.6091        0.746503        0.417621       -0.617139                11.6008%
        37.8968        0.747494        0.395179       -0.632241                11.6085%
        38.5014        0.748016        0.388771       -0.628419                11.6174%
        36.7577        0.748088        0.430928        -0.66116                11.6251%
        37.5809        0.747119        0.465272       -0.747844                11.6141%
        37.4776        0.749934        0.448169       -0.704302                11.6183%
        36.6116        0.747637        0.382282       -0.585338                11.6249%
        36.7451          0.7433        0.405947       -0.558266                11.6256%
        40.8662        0.730308        0.366004       -0.433761                11.6344%
        38.0393        0.735576        0.393909       -0.453903                11.6421%
         36.592        0.737484        0.382985       -0.465023                11.6486%
        37.5778        0.730012        0.362398       -0.375403                11.6493%
        38.2206        0.727682        0.300161       -0.258483                11.657%
        39.0438        0.728289        0.287027       -0.248837                11.6658%
        37.8985        0.728512        0.292282       -0.249641                11.6747%
        37.5235        0.729191        0.308925       -0.283952                11.6765%
        37.5453        0.730833        0.303829       -0.219627                11.6853%
        37.8289        0.726217        0.291333       -0.218812                11.6836%
        38.2978        0.737418        0.235241       -0.198785                11.689%
        39.2127         0.73074         0.24334       -0.183318                11.6978%
        36.9904        0.727922        0.269709       -0.185822                11.7043%
        39.1536        0.726669        0.298725       -0.156917                11.7026%
        36.1124        0.731847         0.27636       -0.221608                11.702%
         40.831        0.742354        0.240273       -0.264185                11.7096%
        39.3275        0.728055        0.293168        -0.26076                11.7138%
        38.8008        0.744681        0.272486       -0.307955                11.7202%
        38.4746        0.743504        0.272221       -0.292086                11.7092%
        38.6965        0.730928         0.29386       -0.287204                11.718%
        37.9944        0.737941        0.265675       -0.277004                11.7267%
         40.026        0.726158        0.285177       -0.229967                11.732%
        37.9467        0.726175        0.314219       -0.258691                11.7303%
        36.4751        0.733738         0.28675       -0.272494                11.739%
        37.2007        0.733445        0.265878       -0.235019                11.7315%
        37.1955        0.729529        0.312778       -0.234864                11.7368%
        36.8948        0.734527        0.293207       -0.300709                11.7316%
        36.3768        0.732831        0.321509       -0.293201                11.7391%
        35.9188         0.73583        0.303839       -0.294321                11.7247%
        37.4904        0.739319        0.270487        -0.24503                11.7264%
         37.161        0.739526         0.27337       -0.289892                11.7351%
        37.2317        0.734931        0.238923       -0.177376                11.7369%
        38.4104        0.738149        0.251122       -0.246801                11.7456%
        37.2675        0.738673        0.259589       -0.228305                11.752%
        37.8062        0.739234        0.250708       -0.236681                11.7607%
        39.1184        0.740158        0.244336       -0.192711                11.7601%
         36.788        0.736269        0.279196       -0.233857                11.7583%
        37.4424        0.735936        0.266871       -0.259601                11.7659%
        36.5628        0.727462        0.276268        -0.18269                11.7734%
        36.1818        0.729269        0.255942       -0.143656                11.7751%
        37.1994        0.734415        0.239498       -0.176198                11.7838%
         36.838        0.733408        0.250108       -0.152169                11.7889%
        40.2585        0.739807        0.212876       -0.170398                11.7883%
        39.4048        0.740001        0.253531       -0.200267                11.797%
        38.1815         0.74192        0.260084       -0.264245                11.8033%
        36.5156        0.734565        0.281164       -0.267771                11.7969%
        40.6055        0.730242        0.277611        -0.26222                11.8056%
        37.7735        0.732877        0.307978       -0.242883                11.8142%
        36.3015        0.728519        0.289352       -0.202228                11.8216%
        38.2793        0.725715          0.2819        -0.20124                11.8199%
        36.3433        0.728609        0.280471       -0.199048                11.8285%
        38.5837        0.727172        0.288957       -0.235461                11.8325%
         37.038        0.733535        0.313627       -0.269654                11.8365%
        35.9602         0.73501        0.293047       -0.265738                11.8335%
         38.261        0.741673        0.311124       -0.330808                11.841%
        36.8887        0.739726        0.285554       -0.285214                11.8449%
        36.7909        0.736897        0.260493       -0.233305                11.85%
        36.9994        0.735637        0.247911       -0.199363                11.8506%
        36.7382        0.727788        0.304686       -0.218741                11.8511%
        38.2885        0.726914         0.34702       -0.288823                11.8493%
         40.297        0.724959        0.352964       -0.260788                11.8578%
        42.5314        0.716946        0.342143         -0.2061                11.8652%
        39.6336        0.721367        0.326731        -0.19158                11.8726%
        40.4748        0.718008         0.31589       -0.142983                11.8789%
        36.8261        0.724739        0.273743       -0.131718                11.8874%
        36.4448        0.728111        0.260058       -0.155915                11.896%
        36.5052        0.736189        0.264157       -0.221084                11.9022%
        36.3349        0.729359        0.305029       -0.248281                11.9108%
        36.5611        0.738761        0.282223        -0.27727                11.9182%
        36.8417        0.737366        0.281862       -0.295794                11.9244%
        37.6891          0.7383        0.296251       -0.273332                11.9306%
        37.4081        0.741435        0.286927       -0.299638                11.9391%
        37.9207        0.739216        0.266135       -0.283966                11.9326%
        36.5606        0.733072        0.299724       -0.244644                11.9412%
        39.7065        0.731454         0.28032       -0.273003                11.9439%
        39.8811        0.722495        0.297813       -0.205967                11.9397%
        36.9093        0.725039        0.284288       -0.163465                11.9402%
        36.5312        0.731411        0.247838       -0.162654                11.9463%
        36.2946        0.728818         0.24694       -0.116153                11.9514%
        37.7716         0.72798        0.251507       -0.160397                11.9484%
        39.5778        0.724695          0.2668      -0.0676848                11.9568%
        37.5473        0.727832        0.240078      -0.0639966                11.963%
        38.0155        0.726493        0.212319      -0.0636543                11.9634%
        37.6148        0.721299        0.250227      -0.0728515                11.9719%
        38.0021        0.719944        0.266846      -0.0813354                11.9792%
        37.2543        0.729712        0.259451       -0.123254                11.9877%
        37.5156        0.729601        0.214552      -0.0876059                11.9915%
        39.0624         0.72339        0.237035      -0.0955814                12%
        37.9907        0.720903        0.281095       -0.110646                12.0062%
        39.4986        0.727292        0.243297       -0.153519                12.0135%
        37.6686        0.730653        0.204939      -0.0721375                12.0184%
        38.2197        0.719014        0.253324      -0.0539411                12.0142%
        38.7903        0.722558        0.178855        0.039089                12.0146%
        37.1364        0.720608        0.192195       0.0646276                12.023%
        37.5607        0.718846        0.171172        0.117909                12.0291%
        37.6105        0.716928        0.192792        0.109047                12.0376%
        38.8473        0.714904        0.214728        0.107665                12.0345%
         37.836        0.717236        0.153264        0.170328                12.0406%
        39.8173        0.723734        0.163497        0.146233                12.0363%
        38.2869        0.715768        0.215416       0.0614428                12.0436%
         37.038        0.722746        0.195009       0.0537452                12.0382%
         37.425        0.722363        0.216846      -0.0207531                12.0454%
        42.2984        0.730282        0.219916     -0.00734145                12.0412%
        38.0762        0.732113        0.191727      -0.0428335                12.0473%
        37.9347        0.734571        0.213851      -0.0963753                12.0499%
        37.1779        0.732146        0.244033       -0.120893                12.048%
        38.0596        0.730637        0.265237       -0.218908                12.0563%
        37.0003        0.727997        0.289677       -0.225107                12.0636%
        36.6682        0.727886        0.277313       -0.155468                12.0559%
         36.954        0.729667        0.249315        -0.16048                12.0573%
        41.2942        0.728245        0.225235       -0.137347                12.0623%
        41.1932        0.734223        0.253989       -0.120441                12.0614%
        38.7735        0.733462         0.26008       -0.143884                12.0675%
        37.0743        0.732387         0.25953       -0.152368                12.0758%
        36.8818        0.732502        0.307863       -0.251279                12.0819%
        37.1098        0.740785         0.30759       -0.329199                12.073%
        36.5878        0.739105        0.305137       -0.314596                12.0814%
        35.9024        0.739342        0.321339       -0.379798                12.0874%
        41.2136        0.750124        0.283505       -0.399149                12.0843%
        37.8518        0.740244        0.315518       -0.327926                12.0823%
        37.0652        0.741116        0.298355        -0.31894                12.0906%
        39.3256        0.740006        0.280681       -0.340046                12.0989%
        42.6358         0.73631        0.276189       -0.325301                12.1072%
         35.931         0.73715        0.300965       -0.305108                12.1155%
        37.5784        0.736675        0.318919       -0.301949                12.1215%
        37.6546        0.731145        0.350383        -0.32621                12.1298%
         43.357        0.735451        0.385809       -0.387622                12.1369%
        37.7971        0.731518        0.360845       -0.406311                12.1429%
        39.8009        0.734702        0.377678       -0.497044                12.1512%
        41.4034         0.72858        0.418024       -0.490671                12.1538%
        41.6893        0.728896          0.4301       -0.472124                12.1597%
        39.9602        0.731481        0.389291       -0.478783                12.1669%
        41.1467        0.731873        0.416631       -0.450513                12.1751%
        39.4539        0.735111        0.382298       -0.506872                12.1742%
        36.7486        0.745588         0.35169       -0.470635                12.1825%
        38.0199        0.747065        0.309031       -0.417131                12.1873%
        37.5901        0.731919        0.343479       -0.380188                12.1933%
        37.4807        0.738394        0.315969       -0.390387                12.197%
        40.6549          0.7347        0.292925       -0.335926                12.2041%
          44.93         0.74538         0.35266        -0.40267                12.21%
        35.7959        0.737522        0.349549       -0.411375                12.2148%
          36.32        0.734633          0.3572       -0.393488                12.199%
        36.6636        0.733856        0.363571       -0.396396                12.2027%
        36.5686        0.734588        0.367592       -0.431739                12.2063%
        38.4066        0.739634        0.319528       -0.417275                12.21%
        37.9123         0.74706        0.341766       -0.452573                12.2147%
        39.2998         0.73364        0.381783       -0.487216                12.2013%
        41.2243        0.737684        0.382433       -0.547867                12.2095%
        38.7194         0.73898        0.387974       -0.552274                12.2177%
        36.7516           0.743        0.363305       -0.463058                12.2259%
        36.8041        0.743627        0.329966       -0.448049                12.2329%
        37.4756        0.747167        0.338687       -0.456527                12.2365%
        38.5019        0.742799         0.30894       -0.416255                12.239%
         36.023        0.736759        0.353464       -0.425216                12.2415%
        36.6613         0.74628        0.390507        -0.55409                12.2497%
        36.3374        0.739342        0.392597       -0.526959                12.243%
        36.0277        0.742926        0.373796       -0.499371                12.2455%
        37.5318        0.733027        0.388778         -0.4523                12.2525%
        53.7071        0.731588        0.328352       -0.438042                12.2458%
         47.579        0.731645        0.322961       -0.404517                12.254%
        41.3358        0.728851        0.401033       -0.391723                12.2587%
        41.9335        0.726456        0.362445       -0.387454                12.2669%
          40.63        0.725324        0.353211       -0.258903                12.2739%
        39.1504        0.738044        0.324376       -0.310854                12.282%
        40.0437        0.740032        0.312356       -0.299947                12.289%
        39.4135        0.726553        0.350878       -0.275756                12.2869%
        38.9527        0.723225        0.329028       -0.247677                12.295%
        37.1788        0.729223        0.337677        -0.29663                12.2986%
        40.1558        0.722352        0.346528         -0.2762                12.3067%
        41.4658         0.74148        0.283939       -0.251731                12.308%
        38.4135        0.740316        0.262358        -0.28614                12.3138%
        42.1594        0.736663         0.29787       -0.372506                12.3105%
        39.1863        0.724051        0.345756        -0.28555                12.3107%
        36.6304        0.736367        0.288559       -0.254134                12.3176%
        37.7634        0.730591        0.280513       -0.247204                12.3257%
        36.7966        0.734896        0.269755       -0.248783                12.3327%
        36.8575        0.729335        0.308679        -0.27374                12.3385%
        36.5386        0.727545        0.289233         -0.2045                12.3398%
        36.7075         0.73639        0.277273       -0.233682                12.3444%
         37.755        0.729589         0.24261        -0.15654                12.3491%
        36.2873        0.730597        0.250784       -0.138905                12.3526%
        36.5982        0.729895        0.249092       -0.117871                12.3527%
        37.9768        0.730755        0.247524       -0.101199                12.3608%
         37.731        0.727302        0.260321      -0.0968078                12.362%
        45.2624        0.726541        0.296182       -0.105695                12.3542%
        38.6729        0.720932        0.209735     -0.00826847                12.36%
        38.7262        0.720099        0.222904      -0.0250557                12.3657%
        37.6014        0.720928        0.261149      -0.0630163                12.3681%
        38.3476        0.718907        0.267946      -0.0575613                12.3705%
        40.0677        0.722846        0.291385        -0.10209                12.3774%
        39.3183        0.722836        0.298179       -0.126577                12.3854%
        39.4026        0.719444        0.304251        -0.15377                12.3787%
        38.5228        0.722089        0.307167       -0.163237                12.3799%
        37.1086        0.728278        0.266338       -0.185077                12.3777%
         36.875        0.735412        0.267161       -0.202223                12.3835%
        36.0308        0.733238        0.280483       -0.240891                12.3768%
        36.3396        0.733626        0.322152       -0.300999                12.3814%
        38.3979        0.731447        0.360434       -0.341222                12.3815%
        35.8176        0.739424        0.331446       -0.400846                12.3895%
        36.6316        0.739716        0.338634        -0.38294                12.385%
        37.0924        0.747078        0.335483       -0.473118                12.3874%
         37.853        0.748956        0.332371        -0.48067                12.3841%
        37.5071        0.745078        0.318572       -0.437711                12.3842%
        37.5796        0.743886        0.311639       -0.416825                12.373%
        36.4588        0.745912        0.348681        -0.49047                12.3765%
        38.3514        0.735388        0.355132       -0.450012                12.3833%
        46.9944        0.737793        0.414608       -0.450332                12.3912%
        40.2776        0.733525        0.421081       -0.481509                12.3992%
        36.5812        0.745642        0.385162       -0.537816                12.4049%
        36.4499         0.73913          0.3904       -0.525634                12.4038%
        38.6097        0.740253        0.385978       -0.464212                12.405%
         40.972        0.743581        0.402422       -0.510106                12.4118%
        39.9154        0.751612        0.384054       -0.561441                12.4197%
        38.7868        0.740548        0.448134       -0.611988                12.4276%
        40.0758        0.736587        0.461137       -0.646897                12.4356%
        40.3876        0.738616        0.465532       -0.690269                12.4424%
        37.4069        0.743483        0.439726       -0.631534                12.4424%
        36.9226        0.750776        0.410879       -0.645724                12.4481%
        38.8563        0.748905        0.412602       -0.598654                12.4548%
        37.8062         0.74828        0.381463       -0.540804                12.4605%
        35.9613        0.743781         0.38082       -0.526803                12.4594%
        36.4539        0.740723        0.408979       -0.566236                12.4673%
         37.294        0.740967        0.372888       -0.528175                12.4729%
         36.132        0.746414        0.392024       -0.577674                12.4808%
         37.203        0.751318        0.399287       -0.624041                12.4752%
         38.396        0.743386        0.409516       -0.632293                12.4752%
         41.302        0.745315        0.410008       -0.672147                12.4741%
        37.0757         0.74106        0.431417       -0.615124                12.4809%
        36.9686         0.74204        0.410621       -0.555474                12.4876%
        46.0065        0.740932        0.451325       -0.563604                12.4944%
        43.6647        0.735799        0.359268       -0.498606                12.5011%
         38.817        0.741774        0.357201       -0.415672                12.509%
        38.1032         0.74675        0.311509       -0.399847                12.5168%
        37.5569        0.737767        0.348582       -0.373211                12.518%
        36.5092        0.733899        0.331794       -0.320756                12.5247%
        35.9126        0.734555        0.317893       -0.330959                12.5314%
        39.1658         0.72635        0.368461       -0.351053                12.5202%
        39.2854        0.729361         0.35631       -0.306804                12.5269%
        37.8864        0.729766         0.36902       -0.371297                12.5314%
        36.3829        0.731768        0.334809        -0.33509                12.5358%
        36.8549        0.729213        0.330774       -0.301241                12.5313%
        35.9608        0.732524        0.288883       -0.235828                12.5369%
        39.4347        0.729933        0.331597       -0.252336                12.5357%
        40.1646        0.735118        0.308142       -0.242303                12.5413%
        43.0836        0.734094        0.316064       -0.229502                12.548%
        43.2463        0.723932        0.270896       -0.199838                12.5558%
        39.7495        0.723795        0.253395        -0.13904                12.5591%
        40.2344        0.726147        0.294719       -0.133673                12.5658%
         36.595        0.732822        0.259612       -0.166382                12.5736%
        36.7758        0.732342        0.252287       -0.187041                12.5792%
        38.2518        0.734761        0.215413       -0.131975                12.5825%
        36.6989        0.723818        0.243631       -0.065202                12.5903%
        37.0973        0.721725        0.245719      -0.0475979                12.5779%
        38.0733        0.729406        0.231915      -0.0573168                12.5845%
        42.1915        0.727662        0.209383       -0.103405                12.5923%
        36.8915        0.731235        0.239248       -0.148996                12.6001%
        36.3536        0.728572        0.240513       -0.111098                12.6012%
