#          chi2            h           OmegaM           OmegaK               Acceptrate
        165.851        0.829422        0.269968       -0.909241                3.12%
        167.292        0.830972        0.309498       -0.994957                3.1358%
         169.85        0.833104        0.297393       -0.962865                3.0869%
        165.724        0.834336        0.290414       -0.950162                3.08325%
        166.404        0.834324        0.264296       -0.889685                3.0781%
        166.688         0.82995        0.279402        -0.92176                3.03106%
        164.562        0.829693        0.294801       -0.966388                3.04757%
        167.101        0.832517        0.281875       -0.927888                3.05946%
        162.269        0.833926         0.27508       -0.922319                3.04358%
        161.481        0.837423        0.287796       -0.952667                3.06197%
        161.689        0.835243        0.270963       -0.910587                2.92964%
        166.576        0.834881        0.275936       -0.915838                2.94659%
        165.455        0.829981        0.272487       -0.915648                2.96825%
         162.61        0.831926        0.273117       -0.915685                2.98988%
        163.304        0.837056        0.261349       -0.888195                2.87281%
        165.315        0.844709        0.274596       -0.921731                2.88525%
        167.137        0.838472        0.249219       -0.860396                2.81184%
        164.528        0.840832        0.262517       -0.891655                2.81453%
         165.53        0.841794        0.264188       -0.900714                2.81837%
        166.091        0.844478        0.272484       -0.915809                2.82333%
        171.082        0.836318        0.259548       -0.890568                2.8435%
        165.629        0.833198        0.272219       -0.917631                2.836%
        166.197        0.837666        0.296091       -0.965769                2.82578%
        166.694        0.831189        0.287449        -0.94079                2.80224%
        162.502        0.835454        0.283934       -0.944554                2.77123%
         162.56        0.834358        0.265651       -0.897648                2.78541%
        164.089        0.831541         0.26449       -0.895824                2.78048%
        167.847        0.826621        0.304561       -0.986748                2.77724%
        147.626        0.809204        0.396745       -0.982492                2.79491%
        129.309        0.799657        0.449104        -0.94185                2.81364%
        126.184        0.799862        0.414945       -0.894044                2.83182%
        116.087        0.799305         0.43124       -0.948101                2.84944%
        105.803        0.797155        0.401171       -0.940547                2.86483%
        105.849        0.796751        0.394086       -0.906999                2.88295%
        91.2968        0.792046        0.412691       -0.908746                2.9005%
         72.355         0.78427        0.447854         -0.9202                2.91523%
        59.4474         0.77825        0.429038        -0.89575                2.93384%
         60.752        0.768153        0.492782       -0.848709                2.94963%
        40.3378        0.761335        0.467166       -0.849069                2.96651%
        42.1768        0.763149        0.451887       -0.859806                2.98222%
        44.2244         0.76716        0.464481       -0.888762                2.99904%
        47.7802        0.763808        0.473068       -0.952032                3.01757%
        50.9567        0.770289        0.491619       -0.914678                3.03609%
        45.0959        0.759076        0.489499       -0.949642                3.0546%
        42.5784        0.759854        0.521912       -0.915478                3.07076%
        39.3761        0.749254        0.514299       -0.860014                3.08807%
        41.7061        0.745807        0.518022       -0.866609                3.10595%
        41.2834        0.745063        0.520894        -0.85385                3.11965%
        41.3678        0.746664        0.522253       -0.877643                3.13808%
        39.3107        0.752968        0.515202       -0.875621                3.1535%
        39.0991        0.751963        0.513498       -0.880813                3.16888%
        40.0941        0.759245        0.518401       -0.942148                3.18604%
        41.1065        0.747565        0.520683       -0.820276                3.20318%
        37.6903        0.753389        0.467714       -0.791523                3.22153%
        39.5674        0.748065        0.498885       -0.784893                3.2368%
        37.9422         0.74525         0.46637       -0.736939                3.24957%
        38.2854        0.751501        0.406698        -0.68507                3.2623%
        37.0134        0.744773        0.391335       -0.593489                3.27745%
        37.1281        0.749963        0.392307       -0.592909                3.29505%
        40.7751        0.750306        0.379043       -0.530334                3.31138%
        36.3253        0.740453        0.336369       -0.434507                3.32957%
        38.1982        0.744836        0.309884       -0.425378                3.34649%
        36.5804        0.737898        0.334185       -0.357541                3.3634%
        38.6784        0.734653        0.347744       -0.333143                3.37965%
        38.2343        0.725818        0.312854       -0.256153                3.39715%
        37.2479        0.741863        0.282354        -0.30891                3.41527%
        38.6706        0.744119        0.324332       -0.377849                3.4334%
        36.0488        0.739592         0.30882        -0.35252                3.45022%
        36.6297        0.738845        0.325626         -0.3488                3.46442%
        42.6444        0.737395        0.314769       -0.417291                3.48249%
        41.7968        0.739213        0.334169       -0.468775                3.49991%
